time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2
1598017500,11720.24,11726.28,11688.04,11697.29,11700.46,11742.24,11703.49,11830.285,11829.220000000001
1598018400,11697.29,11721.99,11674.44,11717.42,11700.46,11732.095000000001,11696.22,11830.285,11829.220000000001
1598019300,11717.43,11737.43,11714,11728.13,11700.46,11732.095000000001,11677.27,11827.8225,11829.220000000001
1598020200,11728.13,11745.2,11699.45,11745.02,11700.46,11730.225,11615.75,11827.8225,11829.220000000001
1598021100,11745.03,11749.49,11727.96,11735.75,11724.68,11729.015,11599.82,11827.5225,11829.220000000001
1598022000,11735.75,11736.69,11711.81,11724.94,11723.11,11729.015,11575.47,11827.494999999999,11829.220000000001
1598022900,11724.94,11757.72,11717.96,11738.46,11723.11,11729.015,11548.1,11827.494999999999,11829.220000000001
1598023800,11738.45,11762.81,11734.46,11741.91,11718.625,11725.494999999999,11535,11826.744999999999,11829.220000000001
1598024700,11741.91,11756.89,11720,11720,11718.625,11722.43,11593.95,11831.154999999999,11829.220000000001
1598025600,11720.01,11734.16,11711.2,11734.02,11718.625,11715.375,11584.5,11811.205,11823.5
1598026500,11734.01,11750,11728.17,11732.66,11731.130000000001,11707.525,11570.55,11805.275,11817.57
1598027400,11732.66,11732.66,11709.14,11710.08,11731.130000000001,11702.59,11553.05,11801.1125,11814
1598028300,11710.13,11716.41,11658.73,11660.39,11710.77,11700.46,11564.97,11798.157500000001,11811.65
1598029200,11660.37,11767.5,11605.42,11737.55,11686.46,11690.17,11516.12,11791.5075,11805
1598030100,11738.57,11756.16,11680,11726.43,11686.46,11690.17,11516.26,11791.5075,11805
1598031000,11726.46,11738.64,11687.78,11697.85,11686.46,11690.17,11531.34,11789.7475,11805
1598031900,11696.92,11708.9,11678.6,11693.53,11686.46,11690.17,11456.76,11774.515,11791.3
1598032800,11693.53,11699.85,11640,11645.63,11686.46,11690.17,11425.96,11761.337500000001,11783.02
1598033700,11645.62,11666.15,11605.46,11645.98,11686.46,11690.17,11456.84,11739.3925,11765
1598034600,11645.98,11650.57,11608.99,11644.41,11686.46,11690.17,11419.63,11729.5825,11759.060000000001
1598035500,11644.41,11686,11641.08,11671.21,11686.46,11690.17,11405.33,11721.17,11752
1598036400,11671.2,11703.99,11663.69,11695.52,11686.46,11690.17,11444.72,11721.4575,11752
1598037300,11695.51,11719.24,11692.62,11708.2,11680.81,11688.6,11429.31,11721.4575,11749.314999999999
1598038200,11708.2,11711.27,11680,11693.33,11672.05,11688.6,11453.62,11721.4575,11749.314999999999
1598039100,11693.33,11698.6,11666.44,11670.83,11662.349999999999,11686.46,11466.75,11721.4575,11749.314999999999
1598040000,11670.89,11710.79,11666.34,11703.49,11662.349999999999,11686.46,11440.99,11721.349999999999,11749.314999999999
1598040900,11703.48,11709.1,11689.07,11696.22,11662.349999999999,11686.46,11455.45,11716.2775,11749.314999999999
1598041800,11696.21,11696.22,11669.61,11677.27,11664.115,11686.46,11456.95,11716.2775,11749.314999999999
1598042700,11677.27,11681.01,11613.01,11615.75,11666.125,11686.46,11467.04,11715.342499999999,11749.314999999999
1598043600,11615.54,11650.53,11589.89,11599.82,11654.564999999999,11678.695,11443.92,11726.8475,11749.314999999999
1598044500,11599.83,11632.85,11506,11575.47,11612.619999999999,11636.75,11473.01,11726.0625,11749.314999999999
1598045400,11575.46,11597.63,11520,11548.1,11608.635,11636.75,11474.02,11726.0625,11749.314999999999
1598046300,11548.1,11549.46,11485.81,11535,11598.3,11626.654999999999,11452.06,11722.06,11749.314999999999
1598047200,11535.1,11594.42,11518.65,11593.95,11598.3,11626.654999999999,11437.78,11720.5275,11749.314999999999
1598048100,11594.06,11597.96,11554.31,11584.5,11597.455,11626.654999999999,11425.08,11717,11749.314999999999
1598049000,11584.51,11597.5,11545.66,11570.55,11591.015,11626.654999999999,11422.83,11719.3275,11749.314999999999
1598049900,11570.55,11588.16,11546.67,11553.05,11583.41,11626.654999999999,11453.95,11716.86,11749.314999999999
1598050800,11552.87,11580.1,11540.09,11564.97,11568.17,11626.654999999999,11457.74,11705.615,11748
1598051700,11564.97,11564.98,11509.01,11516.12,11559.33,11626.654999999999,11464.81,11688.314999999999,11737.71
1598052600,11516.12,11538.72,11495,11516.26,11541.884999999998,11620.985,11471.12,11688.314999999999,11737.71
1598053500,11516.26,11534.56,11503.79,11531.34,11541.884999999998,11612.224999999999,11487.85,11688.314999999999,11737.71
1598054400,11531.23,11543.15,11450,11456.76,11523.98,11584.619999999999,11575.08,11688.314999999999,11737.71
1598055300,11456.75,11488.09,11401.12,11425.96,11499.54,11560.18,11547.7,11688.314999999999,11737.71
1598056200,11424.6,11466.74,11408.2,11456.84,11499.310000000001,11560.18,11564.03,11688.314999999999,11734.970000000001
1598057100,11456.85,11456.85,11406.1,11419.63,11494.64,11560.18,11552.23,11688.314999999999,11734.970000000001
1598058000,11419.74,11433.4,11376.81,11405.33,11478.455,11548.025,11565,11688.314999999999,11732.165
1598058900,11405.34,11459.06,11404.97,11444.72,11470.895,11548.025,11583.44,11688.314999999999,11732.165
1598059800,11444.71,11462.28,11421.01,11429.31,11459.98,11548.025,11579.61,11684.705,11732.165
