time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,RSI,ATR
1598017200,11735.09,11735.09,11715.03,11720.23,11743.405,11700.46,11732.06,NaN,NaN,46.724918084628264,24.4535342988454
1598017500,11720.24,11726.28,11708.2,11712.61,11739.990000000002,11700.46,11728.71,NaN,NaN,44.79375056427187,23.998281848927867
1598017800,11712.61,11717.23,11703.54,11704.47,11737.66,11700.46,11720,NaN,NaN,42.76060104626325,23.261976002575782
1598018100,11704.39,11705.63,11688.04,11697.29,11729.91,11700.46,11721.41,NaN,NaN,40.993148005601185,22.856834859534533
1598018400,11697.29,11721.99,11696.56,11703.13,11729.91,11700.46,11727.74,NaN,NaN,43.0548867397088,23.0406323695678
1598018700,11703.12,11703.13,11674.44,11683.68,11723.11,11700.46,11734.02,NaN,NaN,38.260105576937974,23.44415862888429
1598019000,11683.67,11718.39,11683.09,11717.42,11713.535,11700.46,11749.99,NaN,NaN,48.89270374730371,24.29100444110679
1598019300,11717.43,11736.4,11716.32,11724.88,11708.825,11700.46,11739.82,NaN,NaN,50.905878362648146,23.990218409599155
1598019600,11724.85,11727.91,11714,11722.49,11705.42,11700.46,11732.66,NaN,NaN,50.223307714941846,23.270202808913492
1598019900,11722.49,11737.43,11722.49,11728.13,11705.935000000001,11700.46,11719.99,NaN,NaN,51.863592419906965,22.675188322562565
1598020200,11728.13,11728.62,11703.37,11710.3,11705.935000000001,11700.46,11717.45,NaN,NaN,46.63199713616162,22.859103442379528
1598020500,11710.29,11725.67,11699.45,11723.7,11705.935000000001,11700.46,11710.08,NaN,NaN,50.66016341311191,23.099167482209513
1598020800,11723.7,11745.2,11717.96,11745.02,11709.82,11724.68,11688.11,NaN,NaN,56.3104571324092,23.394941233480377
1598021100,11745.03,11746.45,11733.15,11738.1,11710.445,11724.68,11686.24,NaN,NaN,54.14315022141075,22.67387400251757
1598021400,11738.09,11749.49,11735,11736.1,11716.29,11724.68,11660.39,NaN,NaN,53.502218541417555,22.089311573766302
1598021700,11736.09,11748,11727.96,11735.75,11724.470000000001,11724.68,11663.2,NaN,NaN,53.3831231576792,21.942932175640202
1598022000,11735.75,11736.69,11713.89,11719.23,11724.470000000001,11724.68,11701.45,NaN,NaN,47.95686329010876,22.004151305951694
1598022300,11719.27,11723.37,11715.65,11719.6,11724.470000000001,11723.11,11737.55,NaN,NaN,48.08414704200023,20.98385478409809
1598022600,11719.59,11726.98,11711.81,11724.94,11724.470000000001,11723.11,11720.47,NaN,NaN,49.98536043019934,20.5685794423768
1598022900,11724.94,11742.88,11717.96,11742.06,11724.470000000001,11723.11,11718.82,NaN,NaN,55.599301612159344,20.879395196492748
1598023200,11742.07,11756.34,11734.87,11753.17,11734.075,11723.11,11726.43,NaN,NaN,58.82896652610878,20.921581253886075
1598023500,11753.4,11757.72,11737.53,11738.46,11734.765,11723.11,11713.78,NaN,NaN,53.30075880493947,20.869325450036975
