time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,RSI,ATR
1598327100,11680.81,11686.58,11679.02,11682,11675.745,11712.195,11666.04,NaN,NaN,39.029930848325314,14.659804733637298
1598327400,11682,11691.18,11681.99,11686.55,11673.86,11712.195,11665,NaN,NaN,41.97550949584067,14.269104395520385
1598327700,11686.55,11693.35,11660.81,11669.58,11674.945,11712.195,11665.54,NaN,NaN,35.1539562640623,15.574168367268992
1598328000,11669.57,11675.51,11656.62,11674.43,11674.945,11712.195,11655.93,NaN,NaN,38.24295942088763,15.811013483892594
1598328300,11674.43,11678.35,11669.15,11674.76,11674.945,11708.485,11653,NaN,NaN,38.45777459137955,15.338798235043175
1598328600,11674.77,11677.63,11668.68,11676.16,11674.985,11700.185000000001,11665.47,NaN,NaN,39.4205010951011,14.882455503968584
1598328900,11676.16,11677.63,11661.59,11661.75,11674.985,11691.330000000002,11639,NaN,NaN,33.595094684228215,14.965137253685047
1598329200,11661.75,11665.57,11656.46,11657.38,11674.904999999999,11690.555,11623.42,NaN,NaN,32.048372861235876,14.546913164136157
1598329500,11657.38,11657.57,11648.47,11653.54,11670.91,11686.56,11634.99,NaN,NaN,30.710373480173573,14.157847938126457
1598329800,11653.54,11670.51,11649.3,11670.42,11670.91,11686.56,11625.58,NaN,NaN,42.14488442719159,14.661573085403205
1598330100,11670.41,11684.16,11666.39,11680.6,11670.91,11686.445,11635.89,NaN,NaN,47.745468856142985,14.883603579303008
1598330400,11680.6,11687.04,11676.05,11680.88,11667.755000000001,11685.2,11627.82,NaN,NaN,47.89487448720029,14.605489037924338
1598330700,11680.89,11685.83,11675,11683.58,11667.755000000001,11685.2,11601.82,NaN,NaN,49.397347598822144,14.335811249501166
1598331000,11683.58,11687.96,11678.82,11683.9,11668.215,11680.035,11612.59,NaN,NaN,49.58290359378313,13.964681874536755
1598331300,11683.91,11688.83,11676.34,11678.03,11668.65,11674.974999999999,11592.4,NaN,NaN,46.23376028086412,13.859347454926972
