time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2
1598006700,406.85,408.62,405.01,408.53,408.58,410.575,405.58,413.57500000000005,414.24
1598007600,408.53,408.98,407.54,407.62,408.58,410.575,404.81,413.57500000000005,414.24
1598008500,407.57,408.48,406.34,406.71,408.34000000000003,410.575,402.99,413.57500000000005,414.24
1598009400,406.71,406.92,405.01,405.28,407.805,410.435,403,414.055,414.24
1598010300,405.28,406.76,403.93,405.33,406.78,409.57,399.78,414.285,414.24
1598011200,405.31,405.5,401.04,402.94,405.09000000000003,408.045,397.57,414.52250000000004,414.24
1598012100,402.93,404,399.69,400.09,404.41499999999996,407.235,396.54,414.52750000000003,414.24
1598013000,400.07,405.51,399.44,404.85,404.21000000000004,407.11,397.84,414.47,414.24
1598013900,404.85,407.91,404.01,406.68,404.21000000000004,407.11,399.53,414.1225,414.24
1598014800,406.67,407,404.7,406.88,404.21000000000004,407.11,400.5,413.87,414.24
1598015700,406.89,407.76,405.52,406.96,403.96000000000004,407.11,399.01,413.72,414.24
1598016600,406.98,407.04,404.2,404.89,403.675,406.865,397.51,413.645,414.24
1598017500,404.88,405.37,401.8,402.06,403.675,406.85,399.5,413.47749999999996,414.24
1598018400,402.07,404.13,400.88,403.73,403.675,406.185,400.4,413.2175,414.24
1598019300,403.7,405.45,403.5,404.72,403.675,406.125,398.88,412.775,414.24
1598020200,404.7,407.04,403.17,407.04,403.675,405.90999999999997,395.04,412.775,414.24
1598021100,407.01,407.07,405.2,405.22,404.395,405.79499999999996,390.76,412.775,414.24
1598022000,405.29,405.34,403.2,403.97,404.32,405.79499999999996,390.17,412.41499999999996,414.055
1598022900,404,406.3,403.52,405.13,404.32,405.79499999999996,389.7,412.41499999999996,414.055
1598023800,405.13,406.63,405.13,406.07,403.975,405.555,388.54,412.2925,414.055
1598024700,406.1,407.2,404.2,404.27,404.03999999999996,405.02,393.29,412.28499999999997,414.055
1598025600,404.21,405.3,403.26,404.33,404.03999999999996,404.53499999999997,393.38,411.47749999999996,413.58000000000004
1598026500,404.31,406.65,404.31,405.88,405.185,404.28999999999996,391.68,410.9175,413.05
1598027400,405.87,405.87,403.67,403.72,405.185,404.28999999999996,389.57,410.445,412.53499999999997
1598028300,403.7,404.55,400.76,400.77,403.98,404.21000000000004,390.85,410.12,412.305
1598029200,400.77,406.49,399,405.58,403.1,403.99,386.52,409.5775,411.845
1598030100,405.59,406.7,402.9,404.81,403.1,403.99,386.38,409.5775,411.845
1598031000,404.84,405.5,402.33,402.99,403.1,403.74,387.97,409.4575,411.845
1598031900,402.95,403.5,401.81,403,403.1,403.45500000000004,383.4,409.12,411.845
1598032800,403,403.36,399.39,399.78,402.85,403.45500000000004,381.9,408.17499999999995,411.305
1598033700,399.81,401.32,394.35,397.57,400.525,401.13,384.01,406.5675,409.86
1598034600,397.64,397.81,394,396.54,400.35,400.95500000000004,381.4,405.825,409.185
1598035500,396.54,399.25,396.26,397.84,400.35,400.95500000000004,382.7,405.66,409.06
1598036400,397.87,399.96,397.53,399.53,400.35,400.95500000000004,384.19,405.66,409.06
1598037300,399.53,401.5,399.27,400.5,400.35,400.88,383.39,405.66,408.69
1598038200,400.56,401.4,397.81,399.01,399.75,400.88,385.11,405.535,408.33000000000004
1598039100,399.04,399.66,397.29,397.51,398.75,400.6,386.21,405.27,408.03
1598040000,397.57,400.09,396.98,399.5,398.68,400.6,384.75,405.26250000000005,408.03
1598040900,399.46,401.5,398.96,400.4,397.75,400.6,386.63,404.93,408.03
1598041800,400.41,400.43,398.46,398.88,397.75,400.6,385.13,404.9,408.03
1598042700,398.89,399.13,395,395.04,398.25,400.6,385.84,404.7925,408.03
1598043600,395.04,396.33,390.19,390.76,395.845,398.695,384.09,405.09499999999997,408.03
1598044500,390.77,393.1,386,390.17,393.75,396.6,386.1,405.0575,408.03
1598045400,390.18,390.23,385.65,389.7,393.575,396.42499999999995,385.39,405.0575,408.03
1598046300,389.7,389.76,385.1,388.54,393.3,396.15,383.89,404.765,408.03
