time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2
1598057100,58.81,58.83,58.18,58.34,58.894999999999996,59.575,59.38,60.5125,61.34
1598058000,58.33,58.61,57.76,58.52,58.834999999999994,59.515,59.33,60.5125,61.34
1598058900,58.51,58.97,58.49,58.94,58.66,59.515,59.63,60.5125,61.34
1598059800,58.93,59.22,58.59,58.62,58.61,59.515,59.7,60.49250000000001,61.34
1598060700,58.61,58.91,58.4,58.8,58.54,59.515,59.79,60.46,61.34
1598061600,58.81,59.23,58.79,58.99,58.5,59.515,59.94,60.3925,61.34
1598062500,59,59.03,58.5,58.64,58.495,59.480000000000004,59.82,60.370000000000005,61.34
1598063400,58.63,58.88,58.36,58.83,58.495,59.480000000000004,59.68,60.370000000000005,61.34
1598064300,58.79,58.93,58.65,58.85,58.495,59.42,59.71,60.407500000000006,61.34
1598065200,58.84,59.08,58.8,58.97,58.495,59.315,59.52,60.49,61.34
1598066100,58.97,58.97,58.57,58.64,58.795,59.12,59.68,60.447500000000005,61.34
1598067000,58.65,59.06,58.64,59,58.795,58.995,59.66,60.254999999999995,61.224999999999994
1598067900,58.99,59.4,58.8,59.28,58.879999999999995,58.995,59.65,60.254999999999995,61.224999999999994
1598068800,59.28,59.28,58.72,58.72,58.879999999999995,58.995,59.64,60.18000000000001,61.15
1598069700,58.73,58.88,58.52,58.53,58.879999999999995,58.995,59.72,60.1625,60.95
1598070600,58.55,58.75,58.42,58.51,58.879999999999995,58.995,59.65,60.1625,60.83
1598071500,58.52,58.8,58.05,58.41,58.724999999999994,58.995,59.37,60.1325,60.705
1598072400,58.42,58.67,58.26,58.59,58.724999999999994,58.834999999999994,59.03,60.08,60.655
1598073300,58.6,58.88,58.54,58.8,58.724999999999994,58.834999999999994,59.33,59.9825,60.58
1598074200,58.8,59.03,58.75,58.88,58.724999999999994,58.66,59.28,59.92,60.525
1598075100,58.88,59.12,58.84,59.08,58.724999999999994,58.61,59.49,59.805,60.385000000000005
1598076000,59.08,59.26,59.01,59.23,58.665,58.58,59.38,59.7725,60.385000000000005
1598076900,59.22,59.6,59.12,59.5,58.825,58.68,59.89,59.495000000000005,60.120000000000005
1598077800,59.5,59.58,59.26,59.42,58.825,58.68,59.76,59.315,59.86
1598078700,59.43,59.53,59.36,59.48,58.825,58.68,59.52,59.315,59.86
1598079600,59.47,59.49,59.13,59.38,58.93,58.68,59.58,59.235,59.86
1598080500,59.39,59.44,59.19,59.33,59.07,58.68,59.41,59.175,59.8
1598081400,59.33,59.72,59.25,59.63,59.235,58.885,59.58,59.0875,59.8
1598082300,59.61,59.79,59.51,59.7,59.315,58.92,59.49,59.0625,59.8
1598083200,59.7,59.9,59.57,59.79,59.455,58.974999999999994,59.38,59.0275,59.76
1598084100,59.79,60.06,59.69,59.94,59.59,59.055,59.55,59.0075,59.76
1598085000,59.95,60.05,59.71,59.82,59.595,59.055,59.62,58.9875,59.65
1598085900,59.81,59.89,59.64,59.68,59.595,59.055,59.75,58.9875,59.605000000000004
1598086800,59.68,59.78,59.53,59.71,59.595,59.055,59.72,58.957499999999996,59.605000000000004
1598087700,59.72,59.8,59.29,59.52,59.625,59.055,59.8,58.905,59.605000000000004
1598088600,59.5,59.71,59.41,59.68,59.655,59.055,59.54,58.957499999999996,59.605000000000004
1598089500,59.66,59.69,59.48,59.66,59.675,59.055,59.44,58.894999999999996,59.605000000000004
1598090400,59.68,59.72,59.38,59.65,59.675,59.055,59.44,58.9375,59.605000000000004
1598091300,59.65,59.68,59.44,59.64,59.675,59.055,59.38,58.9375,59.605000000000004
1598092200,59.63,59.85,59.58,59.72,59.67,59.055,59.42,58.9375,59.605000000000004
1598093100,59.72,59.73,59.44,59.65,59.59,59.055,59.36,58.9375,59.605000000000004
1598094000,59.66,59.71,59.32,59.37,59.57,59.055,59.5,58.86,59.605000000000004
1598094900,59.37,59.42,59.02,59.03,59.435,59.16,59.59,58.779999999999994,59.605000000000004
1598095800,59.05,59.37,59.04,59.33,59.435,59.3,59.54,58.779999999999994,59.605000000000004
1598096700,59.32,59.4,59.2,59.28,59.435,59.405,59.68,58.692499999999995,59.605000000000004
1598097600,59.29,59.49,59.28,59.49,59.435,59.45,59.63,58.6675,59.605000000000004
