time,open,high,low,close
1596166200,11022.63,11024.46,10969.53,10990.26
1596167100,10990.25,10992.85,10964.5,10977.08
1596168000,10976.26,11004.45,10974,10978.09
1596168900,10978.08,11008.96,10976.68,11002.7
1596169800,11002.67,11027.97,10996.02,11026.64
1596170700,11026.65,11058.07,11024.8,11049.53
1596171600,11049.53,11053.74,11033.41,11049.04
1596172500,11049.05,11057.8,11034.22,11053.79
1596173400,11053.78,11058.88,11030.59,11033.64
1596174300,11033.64,11051,11030.98,11039.04
1596175200,11039.04,11062.77,11034,11060.97
1596176100,11060.96,11120,11057.16,11102.8
1596177000,11102.76,11124.88,11098.61,11107.49
1596177900,11107.5,11153.3,11102.28,11140.64
1596178800,11140.63,11150.09,11095.93,11101.89
1596179700,11101.96,11124.98,11093.76,11112.89
1596180600,11112.89,11142.36,11110.92,11136.44
1596181500,11136.44,11144.89,11120.43,11131.11
1596182400,11131.11,11158,11087.12,11156.72
1596183300,11156.72,11188.88,11131.87,11162.35
1596184200,11162.83,11168.74,11121.62,11140.74
1596185100,11140.75,11145.89,11120.02,11124.97
1596186000,11124.97,11149.01,11110.1,11147.55
1596186900,11147.55,11149.74,11123.83,11127.06
1596187800,11127.06,11140.9,11107.35,11111.77
1596188700,11112.24,11118.28,11102.79,11115.51
1596189600,11115.51,11148.83,11105.22,11146.59
1596190500,11145.92,11147.55,11129.23,11139.08
1596191400,11139.08,11175,11131.62,11153.43
1596192300,11153.32,11190.48,11146.52,11174.33
1596193200,11174.34,11177.7,11152.32,11160.73
1596194100,11160.73,11162.38,11141.01,11156.37
1596195000,11156.36,11158,11137.44,11156.62
1596195900,11156.62,11226,11156.58,11218.86
1596196800,11218.86,11227.11,11171.29,11190.8
1596197700,11191.02,11218.88,11184.69,11209.59
1596198600,11209.58,11225,11193.52,11219.69
1596199500,11219.68,11238,11184.69,11238
1596200400,11238,11245,11173.64,11187.67
1596201300,11187.67,11200,11127.13,11143.9
1596202200,11143.91,11154.33,11112,11124.04
1596203100,11124.12,11156.05,11111,11151.95
1596204000,11151.95,11177.68,11136.39,11171.5
1596204900,11171.52,11182.27,11156.6,11159.91
1596205800,11159.91,11205.89,11151.48,11199
1596206700,11199,11245,11190.28,11244.83
1596207600,11244.83,11250,11220.05,11245.61
1596208500,11245.14,11290,11232.28,11273.3
1596209400,11273.3,11370,11273.29,11309.78
1596210300,11309.69,11360,11308,11346.9
1596211200,11346.89,11440,11308,11426.95
1596212100,11428.35,11444,11211.37,11281.5
1596213000,11282.07,11357.05,11268.71,11333.71
1596213900,11333.71,11362,11308.05,11351.9
1596214800,11351.89,11357.69,11277,11293.44
1596215700,11293.56,11331,11282.14,11312.72
1596216600,11312.73,11325.54,11277.79,11305.46
1596217500,11305.46,11315,11272.54,11279.98
1596218400,11279.98,11286.04,11250,11278.96
1596219300,11278.96,11299.93,11277.5,11294.93
1596220200,11294.92,11301.78,11250,11261.35
1596221100,11261.35,11273.67,11223,11239.78
1596222000,11239.79,11274.37,11232,11269.91
1596222900,11269.91,11279.67,11255.5,11271.69
1596223800,11271.69,11310.78,11270,11295.88
1596224700,11295.8,11318.98,11293.89,11317.26
1596225600,11316.77,11350,11311.51,11341.58
1596226500,11341.58,11400,11329.03,11397.28
1596227400,11397.47,11413.61,11355.91,11370.01
