time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,RSI,ATR
1596478500,11388.5,11396.26,11385.46,11395.27,11407.435000000001,11398.96,11388.83,NaN,NaN,50.84771921318457,25.932141389208635
1596478800,11395.27,11404.15,11382.47,11383.29,11407.435000000001,11398.96,11381.12,NaN,NaN,47.118623593001786,25.62841700426518
1596479100,11383.28,11391.53,11375.02,11389.41,11402.51,11398.96,11359.22,NaN,NaN,49.16948285264859,24.97710150396054
1596479400,11389.33,11395.01,11383.74,11394.99,11402.51,11394.74,11361.72,NaN,NaN,51.034119170581214,23.998022825106244
1596479700,11394.98,11394.99,11368.8,11384.61,11399.4,11393.060000000001,11358.26,NaN,NaN,47.54045779874137,24.154592623312976
1596480000,11384.7,11404.5,11378.68,11401.99,11399.4,11380.375,11374.67,NaN,NaN,53.30456101723771,24.273550293076312
1596480300,11401.99,11412.45,11393.04,11401.15,11390.625,11380.375,11360.99,NaN,NaN,53.001444809601026,23.92615384357085
1596480600,11401.16,11404.91,11393.67,11398.2,11390.625,11380.375,11373.63,NaN,NaN,51.885561650811695,23.01999999760149
1596480900,11398.2,11418.92,11386.43,11416.12,11393.86,11380.375,11376.29,NaN,NaN,57.7101805885391,23.69642856920137
1596481200,11416.04,11416.11,11401.34,11401.85,11393.86,11380.375,11372.12,NaN,NaN,52.28244551076501,23.05954081425846
1596481500,11401.87,11402.66,11376.13,11386.57,11393.86,11382.779999999999,11338.55,NaN,NaN,47.16694618189922,23.307430756097187
1596481800,11386.49,11386.73,11362.31,11374.64,11390.615,11394.945,11362.29,NaN,NaN,43.581554334699945,23.386899987804533
1596482100,11374.64,11386.13,11363.3,11375.16,11390.615,11399.07,11359.94,NaN,NaN,43.782149603945314,23.34712141724706
1596482400,11375.46,11378.72,11347.91,11364.57,11383.415,11391.869999999999,11338.91,NaN,NaN,40.615035525846544,23.880184173157947
1596482700,11364.57,11373.99,11355,11369.91,11383.415,11391.869999999999,11347.13,NaN,NaN,42.85963877858781,23.53088530364665
1596483000,11369.91,11372.01,11363.19,11369.62,11383.415,11391.869999999999,11290,NaN,NaN,42.76510347171028,22.48010778195758
1596483300,11369.63,11379.99,11362.68,11369.97,11383.415,11391.869999999999,11276.83,NaN,NaN,42.92871650689401,22.110814368960575
1596483600,11369.85,11369.96,11351.68,11361.11,11382.01,11391.869999999999,11298.92,NaN,NaN,39.82512531112225,21.837899056891896
1596483900,11361.11,11389.06,11360.89,11386.18,11375.285,11391.869999999999,11293.48,NaN,NaN,50.688609809343646,22.290191981399623
1596484200,11386.18,11405.33,11380,11396.49,11376.619999999999,11388.955,11191.28,NaN,NaN,54.33938216075009,22.507321125585356
1596484500,11396.48,11409,11396.48,11399.46,11378.455,11388.955,11246.48,NaN,NaN,55.364561348538295,21.793941045186436
1596484800,11399.46,11416,11395,11401.49,11381.955,11388.955,11251.74,NaN,NaN,56.090238332781894,21.73723097053026
1596485100,11401.8,11409.56,11392.37,11401.13,11383.84,11388.955,11250.3,NaN,NaN,55.916619992666405,21.41242875834943
