time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,RSI,ATR
1597114800,395.94,397,395.7,396.85,396.55499999999995,394.885,390.89,395.045,391.865,56.22508701783192,1.530729200871557
1597115700,396.85,396.86,394.37,395.21,396.28999999999996,394.885,390.74,395.045,391.865,47.47830443322203,1.5992485436664463
1597116600,395.2,396.05,392.7,393.66,395.455,394.885,389.57,394.93500000000006,391.865,40.98822721744235,1.7243022191188448
1597117500,393.65,394.61,393.33,394.17,395.455,394.885,389.75,394.6125,391.865,43.7145302060897,1.6925663463246436
1597118400,394.17,394.93,393.83,394.49,395.455,394.94,390.77,394.6125,391.865,45.41843729341526,1.6502401787300278
1597119300,394.5,395.06,393.84,393.95,395.455,394.94,390.56,394.6125,391.865,43.05005508274433,1.6195087373921706
1597120200,393.95,395.34,393.33,395.05,395.265,395.225,390.67,394.47,391.865,48.89604091362351,1.6474009704355865
1597121100,395.05,396.35,394.52,394.73,394.85,395.455,390.93,394.39250000000004,391.865,47.37257269931326,1.6604437582616192
1597122000,394.73,395.11,393.4,393.98,394.85,395.455,392.09,394.26750000000004,391.865,43.918708700958575,1.6639834898143633
1597122900,393.98,395.14,392.7,394.87,394.78,395.455,391.03,394.25,391.865,48.69862904562692,1.7194132405419087
1597123800,394.86,395.55,394.68,395.38,394.525,395.455,391.49,394.265,391.865,51.26213319080093,1.658740866217487
1597124700,395.37,395.44,394.54,395.1,394.525,395.455,389.58,394.32500000000005,394.005,49.79107749424004,1.6045450900590932
1597125600,395.1,395.1,394.2,394.32,394.525,395.455,389.21,394.41,394.225,45.844330131397825,1.5542204407691604
1597126500,394.31,394.36,392.1,393.24,394.225,395.155,387.5,394.5725,394.46500000000003,40.99848582519556,1.6046332664285055
1597127400,393.21,393.68,390.65,392.02,393.5,394.42999999999995,386.9,394.71500000000003,394.46500000000003,36.32719936085387,1.7064451759693287
1597128300,392,392.52,390.45,391.79,393.4,394.33,385.43,394.9525,394.46500000000003,35.5058622686785,1.7324133776858048
1597129200,391.78,392.84,391.78,392.12,393,394.33,384.09,394.59749999999997,394.46500000000003,37.682907676670496,1.6843838507082476
1597130100,392.09,392.09,389.85,391.38,392.70000000000005,394.03,384.5,394.63750000000005,394.855,34.84263097586701,1.7262135756576573
1597131000,391.38,391.63,388.68,390.23,392.115,393.445,388.96,395.0975,395.08000000000004,30.93976163433291,1.8136268916821094
1597131900,390.22,391.39,390.17,390.98,392.06,393.445,385.89,395.0975,395.08000000000004,35.97662039702884,1.7712249708476708
1597132800,390.98,391.81,389.99,391.03,391.89,393.445,386.66,395.0975,395.08000000000004,36.3101201785878,1.774708901501408
1597133700,391.03,392.4,390,390.5,391.52,393.445,387.35,395.1525,395.08000000000004,34.2721897203286,1.819372551394163
1597134600,390.5,390.67,389.21,389.81,391.18,393.445,385.6,395.3875,395.08000000000004,31.772047140583908,1.7937030834374397
1597135500,389.8,390.48,388.68,389.29,390.76,393.255,379.7,395.525,395.08000000000004,29.996113060304793,1.794152863191909
1597136400,389.28,391.53,388.75,390.86,390.76,392.84000000000003,384.96,395.6275,395.08000000000004,40.762277069133454,1.8645705158210564
1597137300,390.86,391.76,390.66,390.89,390.53999999999996,392.84000000000003,384.49,395.71999999999997,395.08000000000004,40.94916067165063,1.80995833611955
1597138200,390.89,391.63,390.5,390.74,390.53999999999996,392.77,382.28,395.5875,395.08000000000004,40.26515933419683,1.7613898835395818
1597139100,390.74,390.74,389.21,389.57,390.53999999999996,392.515,378.28,395.16999999999996,395.08000000000004,35.31068707982,1.744862034715328
1597140000,389.57,390,387.41,389.75,389.905,391.88,382.28,395.16999999999996,395.08000000000004,36.60311760533666,1.8052290322356601
1597140900,389.75,390.83,389.38,390.77,389.905,391.88,382.66,395.1975,395.08000000000004,43.49268128944769,1.779855529933112
1597141800,390.77,390.88,389.85,390.56,389.58500000000004,391.88,384.79,395.1975,395.08000000000004,42.46937994655915,1.7262944206521735
1597142700,390.55,391.5,390.24,390.67,389.58500000000004,391.88,383.75,395.245,395.08000000000004,43.22294080066131,1.6929876763198748
1597143600,390.68,391.47,389.98,390.93,389.58500000000004,391.88,383.27,395.15250000000003,395.08000000000004,45.054890987529,1.6784885565827417
1597144500,390.93,392.21,390.53,392.09,389.81,391.48,386.18,395.15250000000003,395.08000000000004,52.429629480936505,1.6785965168268322
1597145400,392.08,392.31,390.82,391.03,389.86,391.48,385.72,395.11749999999995,395.08000000000004,46.3124913278343,1.6651253370534875
1597146300,391.03,391.49,390,391.49,389.86,391.48,384.56,394.99,395.08000000000004,49.08851954519218,1.6526163844068105
1597147200,391.46,391.46,389.18,389.58,389.86,391.425,382.79,394.99,395.08000000000004,39.87007070694872,1.6995723569491814
1597148100,389.58,390.62,389,389.21,390.655,391.255,381.39,394.99,395.08000000000004,38.36696873808311,1.6938886171670973
1597149000,389.21,389.91,387.49,387.5,389.9,390.885,381.92,394.69,395.08000000000004,32.30527547449633,1.7457537159408771
1597149900,387.49,389.2,386.5,386.9,389.405,390.09000000000003,381.83,393.965,394.625,30.48529513993273,1.813914164802242
1597150800,386.9,387.67,384.72,385.43,388.515,388.78,379.93,393.865,394.525,26.540273353551996,1.8950631530306528
1597151700,385.46,386.31,382.6,384.09,387.45500000000004,387.72,379.08,393.66499999999996,394.525,23.548709597177222,2.0247014992427474
1597152600,384.09,385.59,383.39,384.5,387.45500000000004,387.5,380.53,393.365,394.03,26.286520962897256,2.0372228207254075
1597153500,384.5,389.6,384.28,388.96,387.045,387.5,377.55,392.78,393.445,48.07160667326057,2.2717069049593106
1597154400,388.95,389.13,385.45,385.89,387.03,387.5,375.37,392.7525,393.445,39.432727796082865,2.372299268890789
1597155300,385.92,387.13,384.35,386.66,386.61,387.5,374.28,392.6675,393.445,42.236601929610664,2.4014207496843025
1597156200,386.66,387.39,385.18,387.35,386.255,387.5,373.3,392.48249999999996,393.445,44.70681902956859,2.387747838992565
1597157100,387.35,387.35,384.55,385.6,386.1,387.45500000000004,372.57,392.3125,393.445,40.03105035697626,2.417194421921668
1597158000,385.6,385.66,377.4,379.7,383.5,384.855,373.69,392.0075,393.445,29.013629233776754,2.8345376774986955
1597158900,379.76,385.42,379.56,384.96,383.5,384.855,375.93,391.8,393.445,43.850634026934344,3.0506421291059325
1597159800,384.96,386.15,384.28,384.49,383.5,384.855,373.96,391.69,393.445,42.98607265144993,2.966310548455509
1597160700,384.51,384.98,382,382.28,383.5,384.855,374.16,391.655,393.445,39.083977902962,2.967288366422974
1597161600,382.26,382.85,376.24,378.28,382.685,384.275,374.22,391.5275,393.445,33.208172325025515,3.2274820545356198
1597162500,378.28,383.44,376.66,382.28,381.815,384.275,375.36,390.8925,392.81,42.515114435818305,3.481233336354502
1597163400,382.22,383.59,380.67,382.66,381.815,384.275,375.52,390.8925,392.81,43.323089838404734,3.4411452409006063
1597164300,382.64,385.04,381.39,384.79,381.795,384.275,376.67,390.7325,392.81,47.75574267192897,3.456063437979137
1597165200,384.82,385.25,383.37,383.75,381.195,384.275,380.94,390.7325,392.81,45.86940649993618,3.343487478123484
1597166100,383.81,384.34,382.03,383.27,381.195,384.275,380.11,390.7325,392.81,44.9861937692075,3.269666943971807
1597167000,383.24,386.56,382.57,386.18,381.4,384.275,379,390.645,392.81,51.12979219249084,3.3211193051166785
1597167900,386.18,386.56,385.03,385.72,381.4,384.275,379.6,390.67,392.81,50.175907479648075,3.1931822118940607
1597168800,385.72,385.75,384.31,384.56,381.4,383.865,378.3,390.67,392.81,47.756340006271564,3.0679549110444846
1597169700,384.55,384.61,382.5,382.79,381.61,383.85,377.57,390.64250000000004,392.81,44.24998720499127,2.9995295602555934
1597170600,382.8,383.49,381,381.39,383.615,383.43,376.67,390.955,392.81,41.645444228973304,2.963134591665909
1597171500,381.37,383.01,380.8,381.92,383.68,383.07500000000005,378.13,390.3925,392.81,43.01294355394997,2.909339263689771
1597172400,381.92,382.07,380.29,381.83,383.425,382.92,379.88,389.7475,392.355,42.829397251920774,2.828672173426214
1597173300,381.81,382.05,378.89,379.93,382.725,382.92,379.9,388.6475,391.46500000000003,39.0417340989788,2.8523384467529147
1597174200,379.96,381.22,378.76,379.08,382.65999999999997,382.92,378.11,387.58750000000003,390.405,37.44626674809359,2.824314271984852
1597175100,379.08,381.13,378.69,380.53,382.625,382.92,375.02,387.4775,390.405,41.8145143345911,2.7968632525573627
1597176000,380.53,380.56,377.45,377.55,381.6,382.92,374.37,387.27250000000004,390.405,36.21695293820487,2.8192301630889807
